x(km),h(m)
0,645
0.5,530
1.0,450
1.5,510
2.0,550
2.5,520
3.0,430
3.5,430
4.0,480
4.5,510
5.0,495
5.5,580
6.0,655
6.5,600
7.0,505
7.5,510
8.0,550
8.5,590
9.0,730
9.5,640
10.0,500
10.5,472
11.0,535
11.5,560
12.0,510
12.5,430
13.0,430
13.5,480
14.0,520
14.5,525
15.0,550
15.5,625
16.0,580
16.5,510
17.0,505
17.5,570
18.0,590
18.5,740
19.0,630
19.5,485
20.0,460
20.5,520
21.0,535
21.5,480
22.0,430
22.5,430
23.0,470
23.5,510
24.0,550
24.5,590
25.0,610
25.5,550
26.0,515
26.5,505
27.0,590
27.5,600
28.0,750
28.5,590
29.0,470
29.5,450
30.0,540
30.5,505
31.0,465
31.5,430
32.0,430
32.5,480
33.0,450
33.5,570
34.0,645
34.5,580
35.0,520
35.5,510
36.0,510
36.5,590
37.0,620
37.5,560
38.0,450
38.5,470
39.0,560
39.5,500
40.0,445
40.5,430
41.0,430
41.5,470
42.0,455
42.5,600
43.0,690
43.5,595
44.0,510
44.5,510
45.0,530
45.5,590
46.0,670
